"User ID","Value","Gene Name","Species"
"ACTB","","actin beta(ACTB)","Homo sapiens"
"AKT1","","AKT serine/threonine kinase 1(AKT1)","Homo sapiens"
"AURKA","","aurora kinase A(AURKA)","Homo sapiens"
"BIRC5","","baculoviral IAP repeat containing 5(BIRC5)","Homo sapiens"
"BRCA1","","BRCA1 DNA repair associated(BRCA1)","Homo sapiens"
"BRCA2","","BRCA2 DNA repair associated(BRCA2)","Homo sapiens"
"BUB1","","BUB1 mitotic checkpoint serine/threonine kinase(BUB1)","Homo sapiens"
"CCNB1","","cyclin B1(CCNB1)","Homo sapiens"
"CCNB2","","cyclin B2(CCNB2)","Homo sapiens"
"CCND1","","cyclin D1(CCND1)","Homo sapiens"
"CDC20","","cell division cycle 20(CDC20)","Homo sapiens"
"CDH1","","cadherin 1(CDH1)","Homo sapiens"
"CDK4","","cyclin dependent kinase 4(CDK4)","Homo sapiens"
"CENPA","","centromere protein A(CENPA)","Homo sapiens"
"CHEK1","","checkpoint kinase 1(CHEK1)","Homo sapiens"
"DTL","","denticleless E3 ubiquitin protein ligase adapter(DTL)","Homo sapiens"
"E2F1","","E2F transcription factor 1(E2F1)","Homo sapiens"
"EGFR","","epidermal growth factor receptor(EGFR)","Homo sapiens"
"ERBB2","","erb-b2 receptor tyrosine kinase 2(ERBB2)","Homo sapiens"
"ESR1","","estrogen receptor 1(ESR1)","Homo sapiens"
"EZH2","","enhancer of zeste 2 polycomb repressive complex 2 subunit(EZH2)","Homo sapiens"
"FEN1","","flap structure-specific endonuclease 1(FEN1)","Homo sapiens"
"FOXA1","","forkhead box A1(FOXA1)","Homo sapiens"
"GAPDH","","glyceraldehyde-3-phosphate dehydrogenase(GAPDH)","Homo sapiens"
"GATA3","","GATA binding protein 3(GATA3)","Homo sapiens"
"KIF20A","","kinesin family member 20A(KIF20A)","Homo sapiens"
"KIF2C","","kinesin family member 2C(KIF2C)","Homo sapiens"
"KRT18","","keratin 18(KRT18)","Homo sapiens"
"KRT8","","keratin 8(KRT8)","Homo sapiens"
"MAD2L1","","mitotic arrest deficient 2 like 1(MAD2L1)","Homo sapiens"
"MCM2","","minichromosome maintenance complex component 2(MCM2)","Homo sapiens"
"MELK","","maternal embryonic leucine zipper kinase(MELK)","Homo sapiens"
"MKI67","","marker of proliferation Ki-67(MKI67)","Homo sapiens"
"MUC1","","mucin 1, cell surface associated(MUC1)","Homo sapiens"
"MYC","","MYC proto-oncogene, bHLH transcription factor(MYC)","Homo sapiens"
"NCAPG","","non-SMC condensin I complex subunit G(NCAPG)","Homo sapiens"
"NEK2","","NIMA related kinase 2(NEK2)","Homo sapiens"
"PBK","","PDZ binding kinase(PBK)","Homo sapiens"
"PCNA","","proliferating cell nuclear antigen(PCNA)","Homo sapiens"
"PGR","","progesterone receptor(PGR)","Homo sapiens"
"PIK3CA","","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha(PIK3CA)","Homo sapiens"
"PLK1","","polo like kinase 1(PLK1)","Homo sapiens"
"PTEN","","phosphatase and tensin homolog(PTEN)","Homo sapiens"
"PTTG1","","PTTG1 regulator of sister chromatid separation, securin(PTTG1)","Homo sapiens"
"RB1","","RB transcriptional corepressor 1(RB1)","Homo sapiens"
"RRM2","","ribonucleotide reductase regulatory subunit M2(RRM2)","Homo sapiens"
"TK1","","thymidine kinase 1(TK1)","Homo sapiens"
"TOB2","","transducer of ERBB2, 2(TOB2)","Homo sapiens"
"TOP2A","","DNA topoisomerase II alpha(TOP2A)","Homo sapiens"
"TP53","","tumor protein p53(TP53)","Homo sapiens"
"TTK","","TTK protein kinase(TTK)","Homo sapiens"
"TYMS","","thymidylate synthetase(TYMS)","Homo sapiens"
"UBE2C","","ubiquitin conjugating enzyme E2 C(UBE2C)","Homo sapiens"

